state,"drought","flooding","freeze","severe storm","tropical cyclone","wildfire","winter storm"
AK,0.0,0.0,0.0,0.0,0.0,1923.3,0.0
AL,5729.0,118.6,126.9,10482.4,22820.2,627.4,1873.3
AR,5539.8,3963.3,248.7,5497.4,464.8,0.0,496.0
AZ,857.9,502.2,0.0,4598.0,0.0,868.9,0.0
CA,10233.6,11122.4,12899.0,2949.8,0.0,76876.4,0.0
CO,4235.9,1757.8,87.4,18743.7,0.0,3292.3,0.0
CT,11.1,272.6,35.0,653.9,4176.1,0.0,2002.6
DE,739.7,20.0,10.5,158.9,830.7,0.0,750.9
FL,1278.2,1451.4,11584.4,3358.8,213120.9,262.3,3355.4
GA,6917.8,73.6,1094.4,7268.2,15230.7,252.8,1648.1
HI,0.0,0.0,0.0,0.0,5890.0,0.0,0.0
IA,12308.9,20365.1,64.6,15307.1,0.0,0.0,113.7
ID,2716.6,488.8,10.5,0.0,0.0,2115.5,0.0
IL,14429.4,8251.7,359.8,15284.5,899.6,0.0,1026.2
IN,7329.5,4616.2,195.3,8700.9,917.1,0.0,498.5
KS,15965.6,3049.1,146.5,9272.4,0.0,0.0,68.6
KY,6478.1,226.2,213.0,7519.7,1092.2,0.0,1073.1
LA,4388.3,17354.2,174.9,9439.9,175413.0,0.0,1196.0
MA,16.7,278.3,42.0,511.2,2876.9,0.0,3455.6
MD,2826.5,232.0,28.0,2268.0,5244.5,0.0,2318.6
ME,11.1,0.0,0.0,176.0,121.5,0.0,1209.0
MI,2748.0,1811.7,42.0,2988.9,0.0,0.0,370.1
MN,6866.9,4738.7,45.5,10743.2,0.0,86.0,142.7
MO,9432.7,12809.5,546.9,18493.8,439.1,0.0,273.8
MS,7199.3,3189.7,107.9,4304.5,52502.0,36.2,3430.4
MT,9553.1,300.2,10.5,978.2,0.0,2464.3,0.0
NC,8732.8,57.3,260.4,5686.7,56724.2,77.4,1710.8
ND,17340.5,8122.9,10.5,54.6,0.0,11.3,32.4
NE,11605.4,4329.0,72.4,8218.9,0.0,49.2,0.0
NH,11.1,0.0,0.0,138.9,395.7,0.0,1173.2
NJ,420.3,985.9,42.0,2799.4,36367.9,0.0,4229.7
NM,2307.6,0.0,0.0,673.2,266.3,1178.2,0.0
NV,337.0,907.5,0.0,52.3,0.0,978.2,0.0
NY,527.7,1728.8,59.4,2658.4,49034.2,0.0,5310.2
OH,5341.7,1048.0,348.4,10153.1,2900.2,0.0,1072.2
OK,9196.6,2176.3,524.9,17826.5,0.0,296.4,293.9
OR,3029.9,1380.4,115.4,89.3,0.0,4116.4,0.0
PA,2102.2,1006.0,87.4,5471.7,7719.6,0.0,2842.9
PR,0.0,0.0,0.0,0.0,103470.5,0.0,0.0
RI,11.1,148.2,7.0,136.8,1083.1,0.0,822.6
SC,3617.8,2148.7,542.1,3413.2,19472.2,0.0,1107.1
SD,9629.6,4587.6,21.0,747.3,0.0,91.3,0.0
TN,5992.4,3308.6,163.2,15603.4,967.9,1554.0,1330.8
TX,27758.7,12297.9,470.8,52509.9,201798.2,2696.2,2248.0
US,261541.6,152940.0,31087.3,294102.8,1010458.6,103613.6,51451.7
UT,405.2,1395.0,10.5,23.9,0.0,1082.9,0.0
VA,3956.2,1850.5,76.3,2358.5,8783.1,0.0,2269.6
VI,0.0,0.0,0.0,0.0,17743.2,0.0,0.0
VT,11.1,0.0,0.0,133.6,1004.6,0.0,906.4
WA,2361.1,918.7,94.4,57.5,0.0,1992.9,0.0
WI,4823.6,5173.8,42.0,3978.9,0.0,0.0,113.7
WV,1934.8,2375.6,58.5,727.1,688.4,0.0,685.6
WY,2273.5,0.0,7.0,890.3,0.0,683.8,0.0
